id,name,func,locationText,image
1032103,艾摩斯,卷軸商人,維多利亞 / 大木林Ⅲ,
1052104,杜卡斯,卷軸商人,戰火之地 / 沼澤地Ⅱ,
2022002,巴倫,卷軸商人,未命名地圖 200080800,
2041016,彌爾格,卷軸商人,未命名地圖 221022000,
2082000,紐曼,售票員,未命名地圖 240000100,
2102002,西拉斯,售票員,未命名地圖 260000100,
2030009,格里巴,商人,未命名地圖 211040200,
9030000,富蘭德里,商店主人,自由市場 / 自由市場入口,
2090006,拉雅,寵物商人,未命名地圖 250000000,
1012004,科爾,寵物飼料商人,維多利亞 / 寵物公園、維多利亞 / 弓箭手村市集,
2010004,未散 中等兵,寵物飼料商人,未命名地圖 200000200,
2041014,菲特利沙,寵物飼料商人,未命名地圖 220000000,
2080004,馬蒂,寵物飼料商人,未命名地圖 240000000,
9000017,可可,巧克力材料商人,維多利亞 / 弓箭手村、維多利亞 / 維多利亞港、未命名地圖 200000000、未命名地圖 220000000、未命名地圖 240000000、未命名地圖 250000000、未命名地圖 261000000,
2080003,諾蔓,捲軸商人,未命名地圖 240010800,
1011101,歐心馬,攤販,,
2080007,歐心馬,攤販,,
1055000,英彩,武器/防具商人,,
11000,賽德,武器商人,彩虹之地 / 楓葉村武器店,
1001000,賽爾文,武器商人,維多利亞 / 維多利亞港武器店,
1011000,克爾,武器商人,維多利亞 / 弓箭手村武器店,
1021000,利伯,武器商人,維多利亞 / 勇士之村武器店,
1031000,妖精 佛羅拉,武器商人,維多利亞 / 魔法森林武器店,
1091000,摩根,武器商人,鯨魚號 / 中央走廊,
2012003,妖精 娜麗,武器商人,未命名地圖 200000001,
2020001,斯考特,武器商人,未命名地圖 211000101,
2041002,海德,武器商人,未命名地圖 220000001,
2050000,馬溫廷,武器商人,未命名地圖 221000200,
2060007,卡利,武器商人,未命名地圖 230000002,
2070002,武器商人 墨鐵,武器商人,未命名地圖 222000000,
2090001,空公,武器商人,未命名地圖 250000000,
2093000,無憚,武器商人,未命名地圖 251000000,
2100002,渣伊德,武器商人,未命名地圖 260000000,
1100001,奇里游,武器防具商人,,
1200001,噗諾暈,武器防具商人,,
9000018,馬蒂達,網咖用武器出租,維多利亞 / 勇士之村、維多利亞 / 墮落城市、維多利亞 / 弓箭手村、維多利亞 / 魔法森林、未命名地圖 200000000、未命名地圖 211000000、未命名地圖 220000000、未命名地圖 221000000、未命名地圖 240000000、未命名地圖 250000000、未命名地圖 260000000、未命名地圖 261000000,
2002001,魯迪,聖誕樹飾品商人,未命名地圖 209000000,
2012016,售票員,販售開往玩具城票券,,
21000,潘,防具商人,楓之島 / 楓之港防具店,./assets/npcs/21000.png
1001001,娜塔莎,防具商人,維多利亞 / 維多利亞防具店,
1011001,山姆,防具商人,維多利亞 / 弓箭手村武器店,
1021001,海里,防具商人,維多利亞 / 勇士之村武器店,
1031001,妖精 舍拉比,防具商人,維多利亞 / 魔法森林武器店,
1051001,瑪帕,防具商人,維多利亞 / 墮落城市武器店,
1091001,羅德斯,防具商人,鯨魚號 / 中央走廊,
2012004,妖精 諾麗,防具商人,未命名地圖 200000001,
2022000,盧米,防具商人,未命名地圖 211000101,
2041003,咪魯,防具商人,未命名地圖 220000001,
2050003,史貝森,防具商人,未命名地圖 221000200,
2060003,艾里亞斯,防具商人,未命名地圖 230000002,
2070003,防具商人 石鐵,防具商人,未命名地圖 222000000,
2080002,馬克斯,防具商人,未命名地圖 240000000,
2090002,比德元,防具商人,未命名地圖 250000000,
2093001,蕭元期,防具商人,未命名地圖 251000000,
2100003,雅斯敏,防具商人,未命名地圖 260000000,
1091002,蓋利,雜貨商,鯨魚號 / 中央走廊,
11100,露茜,雜貨商人,彩虹之地 / 楓葉村雜貨店,
1001100,米娜,雜貨商人,維多利亞 / 維多利亞港雜貨店,
1011100,露娜,雜貨商人,維多利亞 / 弓箭手村雜貨店,
1021100,格里高利,雜貨商人,維多利亞 / 勇士之村雜貨店,
1031100,妖精 蓮,雜貨商人,維多利亞 / 魔法森林雜貨店,
1051002,銘仁,雜貨商人,維多利亞 / 墮落城市藥店,
1052116,唐唐,雜貨商人,,
1055002,太何,雜貨商人,,
1081000,拜倫,雜貨商人,黃金海岸 / 黃金海灘,
1100002,奇里營,雜貨商人,,
1200002,噗里噗里,雜貨商人,,
1301000,道勒,雜貨商人,,
2012005,妖精 易多,雜貨商人,未命名地圖 200000002,
2022001,哈娜,雜貨商人,未命名地圖 211000102,
2040049,糖果機,雜貨商人,未命名地圖 221021600,
2040051,托利,雜貨商人,未命名地圖 220050300,
2041006,米斯級,雜貨商人,未命名地圖 220000002,
2051000,派特,雜貨商人,未命名地圖 221000200,
2060004,安納斯,雜貨商人,未命名地圖 230000002,
2070001,雜貨商人 芭德阿姨,雜貨商人,未命名地圖 222000000,
2080001,史萊,雜貨商人,未命名地圖 240000002,
2090003,達淑,雜貨商人,未命名地圖 250000002,
2093002,藍明,雜貨商人,未命名地圖 251000000,
2100004,沙吉達,雜貨商人,未命名地圖 260000000,
2110001,哲利,雜貨商人,未命名地圖 261000000,
2130000,瑪依侖,雜貨商人,未命名地圖 300000000,
9000081,唐歡,雜貨商人,,
9402506,露娜,雜貨商人,,
1092017,無名商人,,,
2012000,售票員,,未命名地圖 200000100,
9001103,商人月妙,,,
2110000,羅森,倉庫商人,未命名地圖 261000000,
1002104,特魯,情報商人,,
1204005,特魯,情報商人,,
2080000,摩斯,武器合成術師,未命名地圖 240000000,./assets/npcs/2080000.png
2040022,萊多,武器製造者,未命名地圖 220020600,./assets/npcs/2040022.png
9000216,布萊爾小姐,現金商店小幫手,,
